id_feature;id_product;id_feature_value;
"6";"319";"20";
"6";"320";"20";
"6";"321";"20";
"6";"322";"20";
"6";"323";"20";
"6";"324";"22";
"6";"325";"22";
"6";"326";"30";
"6";"327";"11627";
"6";"328";"20";
"6";"329";"20";
"6";"330";"20";
"6";"331";"20";
"6";"332";"20";
"6";"333";"20";
"6";"334";"20";
"6";"335";"20";
"6";"336";"20";
"6";"337";"22";
"6";"338";"20";
"6";"339";"20";
"6";"340";"20";
"6";"341";"20";
"6";"342";"20";
"6";"343";"20";
"6";"344";"20";
"6";"345";"22";
"6";"346";"20";
"6";"347";"20";
"6";"348";"20";
"6";"349";"20";
"6";"350";"22";
"6";"351";"22";
"6";"352";"20";
"6";"353";"20";
"6";"354";"20";
"6";"355";"20";
"6";"356";"20";
"6";"357";"30";
"6";"358";"30";
"6";"359";"20";
"6";"360";"20";
"6";"361";"20";
"6";"362";"20";
"6";"363";"20";
"6";"364";"20";
"6";"365";"20";
"6";"366";"20";
"6";"367";"22";
"6";"368";"22";
"6";"369";"20";
"6";"370";"20";
"6";"371";"22";
"6";"372";"20";
"6";"373";"22";
"6";"374";"20";
"6";"375";"20";
"6";"376";"20";
"6";"377";"20";
"6";"378";"22";
"6";"379";"20";
"6";"380";"19114";
"6";"381";"20";
"6";"382";"20";
"6";"383";"20";
"6";"384";"20";
"6";"385";"20";
"6";"386";"20";
"6";"387";"20";
"6";"388";"20";
"6";"389";"20";
"6";"390";"20";
"6";"391";"22";
"6";"392";"22";
"6";"393";"22";
"6";"394";"22";
"6";"395";"20";
"6";"396";"20";
"6";"397";"20";
"6";"398";"20";
"6";"399";"20";
"6";"400";"20";
"6";"401";"20";
"6";"402";"20";
"6";"403";"20";
"6";"404";"20";
"6";"405";"20";
"6";"406";"20";
"6";"407";"20";
"6";"408";"22";
"6";"409";"20";
"6";"410";"20";
"6";"411";"20";
"6";"412";"20";
"6";"413";"22";
"6";"414";"20";
"6";"415";"20";
"6";"416";"20";
"6";"417";"20";
"6";"418";"22";
"6";"419";"22";
"6";"420";"22";
"6";"421";"22";
"6";"422";"22";
"6";"423";"20";
"6";"424";"20";
"6";"425";"20";
"6";"426";"20";
"6";"427";"20";
"6";"428";"20";
"6";"429";"20";
"6";"430";"20";
"6";"431";"22";
"6";"432";"22";
"6";"433";"22";
"6";"434";"20";
"6";"435";"20";
"6";"436";"20";
"6";"437";"20";
"6";"438";"20";
"6";"439";"22";
"6";"440";"20";
"6";"441";"20";
"6";"442";"20";
"6";"443";"20";
"6";"444";"20";
"6";"445";"22";
"6";"446";"20";
"6";"447";"22";
"6";"448";"20";
"6";"449";"20";
"6";"450";"20";
"6";"451";"20";
"6";"452";"22";
"6";"453";"22";
"6";"454";"22";
"6";"455";"22";
"6";"456";"22";
"6";"457";"20";
"6";"458";"22";
"6";"459";"22";
"6";"460";"20";
"6";"461";"22";
"6";"462";"20";
"6";"497";"20";
"6";"523";"20";
"6";"527";"20";
"6";"545";"20";
"6";"562";"22";
"6";"563";"20";
"6";"564";"20";
"6";"565";"20";
"6";"566";"20";
"6";"567";"20";
"6";"568";"20";
"6";"569";"20";
"6";"570";"20";
"6";"571";"20";
"6";"572";"20";
"6";"573";"20";
"6";"574";"20";
"6";"575";"22";
"6";"576";"22";
"6";"577";"20";
"6";"578";"20";
"6";"579";"20";
"6";"580";"20";
"6";"581";"20";
"6";"582";"20";
"6";"583";"20";
"6";"584";"20";
"6";"585";"20";
"6";"586";"20";
"6";"587";"30";
"6";"588";"20";
"6";"589";"20";
"6";"590";"20";
"6";"591";"20";
"6";"592";"20";
"6";"593";"20";
"6";"594";"22";
"6";"595";"20";
"6";"596";"22";
"6";"597";"20";
"6";"598";"20";
"6";"599";"20";
"6";"600";"20";
"6";"601";"22";
"6";"602";"20";
"6";"603";"20";
"6";"604";"20";
"6";"605";"20";
"6";"606";"20";
"6";"607";"20";
"6";"608";"20";
"6";"609";"20";
"6";"610";"20";
"6";"611";"20";
"6";"612";"22";
"6";"613";"20";
"6";"614";"20";
"6";"615";"20";
"6";"616";"20";
"6";"617";"20";
"6";"618";"20";
"6";"619";"20";
"6";"620";"20";
"6";"621";"20";
"6";"622";"20";
"6";"623";"20";
"6";"624";"20";
"6";"625";"20";
"6";"626";"20";
"6";"627";"20";
"6";"628";"20";
"6";"629";"22";
"6";"630";"22";
"6";"631";"30";
"6";"632";"20";
"6";"633";"20";
"6";"634";"20";
"6";"635";"20";
"6";"636";"22";
"6";"637";"22";
"6";"638";"20";
"6";"639";"20";
"6";"640";"22";
"6";"641";"22";
"6";"642";"22";
"6";"643";"22";
"6";"644";"22";
"6";"645";"20";
"6";"646";"20";
"6";"647";"20";
"6";"648";"20";
"6";"649";"20";
"6";"650";"20";
"6";"651";"20";
"6";"652";"20";
"6";"653";"20";
"6";"654";"20";
"6";"655";"20";
"6";"656";"20";
"6";"657";"30";
"6";"658";"20";
"6";"659";"20";
"6";"660";"30";
"6";"661";"20";
"6";"662";"22";
"6";"663";"20";
"6";"664";"20";
"6";"665";"20";
"6";"666";"22";
"6";"667";"20";
"6";"668";"20";
