ID,Activo (0/1),Nombre*,Categorías (xyz...),Precio sin IVA o Precios con IVA,ID regla de impuestos,Precio mayorista,En rebaja (0/1),Valor del descuento,Porcentaje del descuento,Descuento desde (aaaa-mm-dd),Descuento hasta (aaaa-mm-dd),Referencia n?,N° de referencia proveedor,Proveedor,Fabricante,EAN13,UPC,Ecotasa,Peso,Cantidad,Descripción corta,Descripción,"Etiquetas (x,y,z...)",Meta-título,Meta-palabras clave,Meta-descripción,Enlace reescrito,Texto para cuando está disponible,Texto para cuando se permiten pedidos en espera,"Disponible para ordenar (0 = No, 1 = Si)",Fecha en la que se a?adieron productos,"Mostrar Precio (0 = No, 1 = Si)","URL's de las imágenes (x,y,z...)","Elimine las imágenes existentes (0 = no, 1 = si)",Característica (Nombre:Valor:Posición),"Solo disponible por Internet (0 = No, 1 = Si)",Condition,ID / Nombre de la tiend
,0,Lubricante Intimo Yes Tubo X 30 Ml,,"27091,2",1,"27091,2",0,,,,,7800026587416,7800026587416,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Lubricante Intimo Yes Tubo X 30 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Lubricante Intimo Yes Tubo X 30 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Papel Higiénico Famalia Acolchado Grande 24 Rol,,"27415,2",1,"27415,2",0,,,,,17702026016743,17702026016743,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Papel Higiénico Famalia Acolchado Grande 24 Rol en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Papel Higiénico Famalia Acolchado Grande 24 Rol Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Champu H&S Control Grasa Men     700 Ml,,"27553,2",1,"27553,2",0,,,,,7506339361711,7506339361711,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Champu H&S Control Grasa Men     700 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Champu H&S Control Grasa Men     700 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Tiroxin Tabletas 75 Mcg   Caja X 50,,"26028,42",0,"26028,42",0,,,,,7707355054254,7707355054254,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Tiroxin Tabletas 75 Mcg   Caja X 50 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Tiroxin Tabletas 75 Mcg   Caja X 50 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Nude Protect Spr Spf 70 Repele240 Ml,,"27891,6",1,"27891,6",0,,,,,7702044217736,7702044217736,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Nude Protect Spr Spf 70 Repele240 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Nude Protect Spr Spf 70 Repele240 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Levocetirizina Diclo Jarabe 0.05%Frasco X100 Ml,,"26751,62",0,"26751,62",0,,,,,7703763997299,7703763997299,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Levocetirizina Diclo Jarabe 0.05%Frasco X100 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Levocetirizina Diclo Jarabe 0.05%Frasco X100 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Doloff 5-325 Tabletas 5+325 Mg Caja X 10,,"27202,49",0,"27202,49",0,,,,,7704039127877,7704039127877,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Doloff 5-325 Tabletas 5+325 Mg Caja X 10 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Doloff 5-325 Tabletas 5+325 Mg Caja X 10 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Gel Exfoliante Facial Tubo X 60 Gr,,"29049,6",1,"29049,6",0,,,,,7702195114717,7702195114717,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Gel Exfoliante Facial Tubo X 60 Gr en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Gel Exfoliante Facial Tubo X 60 Gr Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Serolux Tabletas 50 Mg  Caja X 10,,"27556,18",0,"27556,18",0,,,,,7702635343318,7702635343318,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Serolux Tabletas 50 Mg  Caja X 10 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Serolux Tabletas 50 Mg  Caja X 10 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Leche Enfamil 1 Liquido 6 Unidades,,"25664,1",0,"25664,1",0,,,,,7506205806995,7506205806995,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Leche Enfamil 1 Liquido 6 Unidades en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Leche Enfamil 1 Liquido 6 Unidades Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Bloqueador Tanga Crema Baby Sfp 100 X 120 Ml,,"29692,8",1,"29692,8",0,,,,,7702113034639,7702113034639,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Bloqueador Tanga Crema Baby Sfp 100 X 120 Ml en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Bloqueador Tanga Crema Baby Sfp 100 X 120 Ml Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Airbron Tabletas 4 Mg Caja X 10,,"28143,78",0,"28143,78",0,,,,,7707177972842,7707177972842,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Airbron Tabletas 4 Mg Caja X 10 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Airbron Tabletas 4 Mg Caja X 10 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
,0,Airbron Tabletas 5 Mg (V.Ago-16)   Caja X 10,,"28143,78",0,"28143,78",0,,,,,7707177971777,7707177971777,Distribuciones Axa S.A.,,,,,,5,,,,Comprar Airbron Tabletas 5 Mg (V.Ago-16)   Caja X 10 en Farmalisto Colombia,"farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio","Domicilio En Bogotá y El Resto Del País, Compre Airbron Tabletas 5 Mg (V.Ago-16)   Caja X 10 Al Mejor Precio",,Disponible,No Disponible,1,,1,,0,,0,new,
