ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;1;Ursofalk Cajax25cap / Biotoscana;;87403,24;0;;0;;;;;7707188880044;;;;;;;;5;.;.;;Comprar Ursofalk Cajax25cap / Biotoscana En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Ursofalk Cajax25cap / Biotoscana. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Enfamil Premium 2 X 850 g / Mead Johnson;;87802,05;0;;0;;;;;17506205807449;;;;;;;;5;.;.;;Comprar Enfamil Premium 2  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Enfamil Premium 2 . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Atoxcynarol X 5 CC X 1 Ampolleta (6X7);;87868,8;0;;0;;;;;7705713370008;;;;;;;;5;.;.;;Comprar Atoxcynarol  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Atoxcynarol . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Apronax Liq275mg+Apr 550mg P.E;;88808,325;0;;0;;;;;7702123008408;;;;;2012M-012970-R2;;;5;.;.;;Comprar Apronax Liq275mg+Apr 550mg P.E En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Apronax Liq275mg+Apr 550mg P.E. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Visomega Cajax60cap / Procaps - Farma;;89164,91;1;;0;;;;;7703153030582;;;;;SD2014-0003166;;;5;.;.;;Comprar Visomega Cajax60cap / Procaps - Farma;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Visomega Cajax60cap / Procaps - Farma. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Vayaplin 5 Mg X 14 Comprimidos Recubiertos;;89866,6355277443;0;;0;;;;;7703991000242;;;;;;;;5;.;.;;Comprar Vayaplin 5 Mg X 14 Comprimid En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Vayaplin 5 Mg X 14 Comprimid. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Keflex 1gr Cajax10tab / Farma;;90740,13;0;;0;;;;;7592229002796;;;;;;;;5;.;.;;Comprar Keflex 1gr Cajax10tab / Farma En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Keflex 1gr Cajax10tab / Farma. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Umbrella Max Emulsion;;91397,4;1;;0;;;;;7703281001072;;;;;NSOC56474-13CO;;;5;.;.;;Comprar Umbrella Max Emulsion En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Umbrella Max Emulsion. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Leche S-26 Comfort Gold  Latax900gr/ Aspen;;94253,5721925378;0;;0;;;;;7502253071705;;;;;;;;5;.;.;;Comprar Leche S-26 Comfort Gold  Latax900gr/ Aspen;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Leche S-26 Comfort Gold  Latax900gr/ Aspen. Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;1;Betaserc 16 Mg X 20 Tabletas.;;94605,3523663783;0;;0;;;;;7501033959509;;;;;2014M-0002984-R1;;;5;.;.;;Comprar Betaserc 16 Mg  En Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Betaserc 16 Mg . Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
