"ID";"Activo (0/1)";"Nombre*";"Categorías (xyz...)";"Precio sin IVA o Precios con IVA";"ID regla de impuestos";"Precio mayorista";"En rebaja (0/1)";"Valor del descuento";"Porcentaje del descuento";"Descuento desde (aaaa-mm-dd)";"Descuento hasta (aaaa-mm-dd)";"Referencia nº";"N° de referencia proveedor";"Proveedor";"Fabricante";"EAN13";"UPC";"Ecotasa";"Peso";"Cantidad";"Descripción corta";"Descripción";"Etiquetas (x,y,z...)";"Meta-título";"Meta-palabras clave";"Meta-descripción";"Enlace reescrito";"Texto para cuando está disponible";"Texto para cuando se permiten pedidos en espera";"Disponible para ordenar (0 = No, 1 = Si)";"Fecha en la que se añadieron productos";"Mostrar Precio (0 = No, 1 = Si)";"URL's de las imágenes (x,y,z...)";"Elimine las imágenes existentes (0 = no, 1 = si)";"Característica (Nombre:Valor:Posición)";"Solo disponible por Internet (0 = No, 1 = Si)";"Condition";"ID / Nombre de la tiend"
;1;"OXICREM LOCIÓN REVELADORA CON SILICONA";"FARMACIA Y MEDICAMENTOS";3000;0;2734;0;;;;;770338304708;84216;"LA REBAJA";"RCH COSMÉTICA S.A.";;;;;5;"Presentación Frasco Por 10 ml.";"Presentación Frasco Por 10 ml.";;"RCH COSMÉTICA S.A. - OXICREM LOCIÓN REVELADORA CON SILICONA";;;"oxicrem-locion-reveladora-con-silicona-770338304708";"Disponible";"No Disponible";1;;1;;0;"Presentación:Frasco:1 - Embalaje:10 ml:2 - Otra información::3";0;"new";
;1;"BLONDOR POLVO DECOLORANTE";"FARMACIA Y MEDICAMENTOS";4000;0;3679;0;;;;;7896016111891;42033;"LA REBAJA";"PROCTER & GAMBIE";;;;;5;"Presentación Sobre Por 20 g.";"Presentación Sobre Por 20 g.";;"PROCTER & GAMBIE - BLONDOR POLVO DECOLORANTE";;;"blondor-polvo-decolorante-7896016111891";"Disponible";"No Disponible";1;;1;;0;"Presentación:Sobre:1 - Embalaje:20 g:2 - Otra información::3";0;"new";
