ID;Activo (0/1);Nombre*;Categorías (xyz...);Precio sin IVA o Precios con IVA;ID regla de impuestos;Precio mayorista;En rebaja (0/1);Valor del descuento;Porcentaje del descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia n?;N° de referencia proveedor;Proveedor;Fabricante;EAN13;UPC;Ecotasa;Peso;Cantidad;Descripción corta;Descripción;Etiquetas (x,y,z...);Meta-título;Meta-palabras clave;Meta-descripción;Enlace reescrito;Texto para cuando está disponible;Texto para cuando se permiten pedidos en espera;Disponible para ordenar (0 = No, 1 = Si);Fecha en la que se a?adieron productos;Mostrar Precio (0 = No, 1 = Si);URL's de las imágenes (x,y,z...);Elimine las imágenes existentes (0 = no, 1 = si);Característica (Nombre:Valor:Posición);Solo disponible por Internet (0 = No, 1 = Si);Condition;ID / Nombre de la tiend
;0;Congestex Caja X60 Capsulas;;95701,96;0;95701,96;0;;;;;7707288820353;7707288820353;COBECA;;;;;;5;;;;Comprar Congestex Caja X60 Capsulas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Congestex Caja X60 Capsulas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Apronax 550Mg X 60 Tabletas;;103026,62;0;103026,62;0;;;;;7702057012311;7702057012311;COBECA;;;;;;5;;;;Comprar Apronax 550Mg X 60 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Apronax 550Mg X 60 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Robaxin Gold Caja X 20 Tableta 3 Unidades;;98914,55;1;98914,55;0;;;;;7707228361625;7707228361625;COBECA;;;;;;5;;;;Comprar Robaxin Gold Caja X 20 Tableta 3 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Robaxin Gold Caja X 20 Tableta 3 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Alka-Seltzer Caja X 72 Tableta;;100412,93;1;100412,93;0;;;;;4005800014475;4005800014475;COBECA;;;;;;5;;;;Comprar Alka-Seltzer Caja X 72 Tableta en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Alka-Seltzer Caja X 72 Tableta Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Invokana Caja X 30 Tableta;;102179,12;1;102179,12;0;;;;;4005800024023;4005800024023;COBECA;;;;;;5;;;;Comprar Invokana Caja X 30 Tableta en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Invokana Caja X 30 Tableta Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Aspirina 100Mg Ni?os Caja X 140 Tableta 4 Unidades;;106768,05;0;106768,05;0;;;;;7502253071705;7502253071705;COBECA;;;;;;5;;;;Comprar Aspirina 100Mg Ni?os Caja X 140 Tableta 4 Unidades en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Aspirina 100Mg Ni?os Caja X 140 Tableta 4 Unidades Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;N-Butil Bromuro De Hioscina Caja X 300 Tabletas Minipack;;104525;0;104525;0;;;;;7702132121167;7702132121167;COBECA;;;;;;5;;;;Comprar N-Butil Bromuro De Hioscina Caja X 300 Tabletas Minipack en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre N-Butil Bromuro De Hioscina Caja X 300 Tabletas Minipack Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Prolastat 0.5Mg Caja X 8 Tabletas;;113988,75;1;113988,75;0;;;;;4005800076992;4005800076992;COBECA;;;;;;5;;;;Comprar Prolastat 0.5Mg Caja X 8 Tabletas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Prolastat 0.5Mg Caja X 8 Tabletas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;N-Butil Bromuro De Hioscina Caja X 400 Tabletas Multipack;;105834,67;1;105834,67;0;;;;;43900973708;43900973708;COBECA;;;;;;5;;;;Comprar N-Butil Bromuro De Hioscina Caja X 400 Tabletas Multipack en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre N-Butil Bromuro De Hioscina Caja X 400 Tabletas Multipack Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
;0;Cipro Xr 1000 Mg X 3 Tabletas Recubiertas;;129679,93;0;129679,93;0;;;;;7415100474447;7415100474447;COBECA;;;;;;5;;;;Comprar Cipro Xr 1000 Mg X 3 Tabletas Recubiertas en Farmalisto Colombia;farmacia,online,drogueria,bogota,colombia,a domicilio,barato,precio;Domicilio En Bogotá y El Resto Del País, Compre Cipro Xr 1000 Mg X 3 Tabletas Recubiertas Al Mejor Precio;;Disponible;No Disponible;1;;1;;0;;0;new;
